Rue;Code Bureau;Bureau de Vote;Score Priorité;Nb Électeurs;Nb Foyers;Électeurs/Foyer;Âge Moyen;% Natifs Vendée;% Hommes
RUE DES AGATES (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;37,22;70;32;2,19;50,27;57,14;45,71
RUE DU QUARTZ [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;37,11;32;13;2,46;44,44;34,38;43,75
RUE DU HUIT MAI 1945 [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;37,00;46;22;2,09;42,20;26,09;34,78
BOULEVARD BLAISE PASCAL (85100);4;ECOLE MATERNELLE CLEMENCEAU;36,97;64;33;1,94;49,09;25,00;50,00
RUE DES MOINEAUX [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;36,93;25;11;2,27;44,76;20,00;52,00
AVENUE FRANCOIS MITTERRAND [OLONNE SUR MER] (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;36,83;100;60;1,67;48,90;36,00;50,00
CHEMIN DE LA GILLERIE [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;36,77;29;12;2,42;46,31;10,34;51,72
IMPASSE DE LA TOURNIERE [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;36,62;16;7;2,29;45,06;6,25;43,75
RUE DU RALLYE [CHATEAU D'OLONNE] (85180);35;SALLE AUDUBON N°2;36,60;19;9;2,11;44,47;36,84;52,63
IMPASSE DE LA PILNIERE (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;36,60;36;18;2,00;47,81;41,67;47,22
RUE DU DR SCHWEITZER (85100);3;CONSERVATOIRE MARIN MARAIS;36,55;93;48;1,94;54,32;26,88;44,09
RUE PREUX MERLAND (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;36,49;18;9;2,00;44,22;61,11;38,89
RUE EUGENE GUERINEAU (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;36,46;31;15;2,07;42,39;70,97;41,94
RUE DU PONT [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;36,45;29;14;2,07;42,62;37,93;55,17
RUE DE LA CHENAIE [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;36,41;14;7;2,00;45,50;50,00;64,29
RUE DE LA PERRIERE [OLONNE SUR MER] (85340);30;OLONNESPACE;36,40;10;5;2,00;45,00;30,00;40,00
RUE GÉNÉRAL CHARETTE [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;36,35;22;10;2,20;46,77;31,82;54,55
ALLEE DES TERRES BASSES (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;36,34;18;7;2,57;46,28;77,78;61,11
RUE DU BOIS [CHATEAU D'OLONNE] (85180);36;ECOLE PRIMAIRE RENE MILLET ;36,29;23;12;1,92;45,43;30,43;52,17
IMPASSE FREDERIC MISTRAL [CHATEAU D'OLONNE] (85180);20;COLONIE KER-NETRA;36,28;10;5;2,00;45,40;10,00;40,00
IMPASSE DE LA CHARRUE (85340);34;CENTRE JEAN DE LA FONTAINE ;36,25;12;5;2,40;45,75;33,33;41,67
RUE DE LA BELLE OLONNAISE [OLONNE SUR MER] (85340);26;LYCEE ERIC TABARLY;36,18;55;33;1,67;44,93;34,55;49,09
RUE DE LA TOUR (85100);1;HOTEL DE VILLE;36,13;12;6;2,00;46,17;41,67;50,00
RUE EDITH PIAF [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;36,13;10;5;2,00;45,90;40,00;60,00
ROUTE DES MARAICHERS [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;36,07;53;31;1,71;46,04;39,62;41,51
RUE DES AJONCS [OLONNE SUR MER] (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;36,02;18;9;2,00;47,33;50,00;27,78
RUE DES BOILARDRIES (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;35,99;70;30;2,33;54,36;44,29;50,00
RUE ANATOLE FRANCE (85100);2;AUDITORIUM SAINT-MICHEL;35,95;37;18;2,06;50,11;21,62;35,14
ROUTE DES AIRES (85340);33;COLONIE DE SAUVETERRE;35,94;86;42;2,05;56,65;65,12;48,84
RUE DES HERONS (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;35,89;11;4;2,75;43,18;72,73;54,55
RUE DES ROSIERS [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;35,89;30;14;2,14;40,63;30,00;53,33
RUE PAUL BERT [OLONNE SUR MER] (85340);34;CENTRE JEAN DE LA FONTAINE ;35,81;23;10;2,30;48,70;26,09;52,17
AVENUE DE TALMONT [CHATEAU D'OLONNE] (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;35,80;68;43;1,58;43,63;44,12;48,53
RUE SERAPHIN BUTON [CHATEAU D'OLONNE] (85180);36;ECOLE PRIMAIRE RENE MILLET ;35,79;67;42;1,60;46,52;23,88;43,28
RUE DU MICA [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;35,74;13;6;2,17;47,62;7,69;53,85
RUE MARECHAL JOFFRE [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;35,71;63;41;1,54;44,90;44,44;41,27
RUE LINO VENTURA [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;35,69;21;11;1,91;47,00;52,38;57,14
RUE DE LA POITEVINIERE [CHATEAU D'OLONNE] (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;35,69;18;9;2,00;48,44;44,44;55,56
RUE DE BEAUMONT [CHATEAU D'OLONNE] (85180);21;LA MAISON DES SPORTS;35,68;49;29;1,69;46,39;38,78;48,98
RUE DU CHEMIN CREUX [OLONNE SUR MER] (85340);34;CENTRE JEAN DE LA FONTAINE ;35,68;10;5;2,00;42,60;20,00;40,00
IMPASSE DES CASTELONNES [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;35,67;13;6;2,17;42,15;23,08;61,54
RUE DES PIVERTS [OLONNE SUR MER] (85340);31;LE STELLA;35,67;16;7;2,29;41,75;56,25;43,75
IMPASSE TINO ROSSI [CHATEAU D'OLONNE] (85180);36;ECOLE PRIMAIRE RENE MILLET ;35,66;14;7;2,00;48,00;21,43;57,14
RUE HENRI COLINS (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;35,62;17;8;2,13;48,53;35,29;41,18
IMPASSE DE LA FONTAINE AUX HOMMES [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;35,58;12;6;2,00;42,00;41,67;50,00
RUE DES PRES DE LA CLAIS [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;35,51;52;29;1,79;40,58;36,54;44,23
ROUTE DES PINS [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;35,51;66;42;1,57;46,86;42,42;54,55
IMPASSE DES NOYERS [OLONNE SUR MER] (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;35,48;13;6;2,17;41,54;46,15;61,54
CHEMIN DES BARRES [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;35,47;69;44;1,57;42,68;39,13;52,17
RUE DES HIRONDELLES [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;35,47;28;16;1,75;44,50;32,14;60,71
RUE SIMONE VEIL [CHATEAU D'OLONNE] (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;35,47;110;69;1,59;52,00;30,91;42,73
IMPASSE DES PETRELS [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;35,42;15;7;2,14;48,93;13,33;53,33
RUE ANNIE GIRARDOT [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;35,37;30;16;1,88;41,40;50,00;40,00
RUE DES GRANDS TERRAGES (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;35,37;63;34;1,85;52,57;34,92;41,27
RUE VICTOR HUGO [OLONNE SUR MER] (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;35,35;21;11;1,91;48,14;42,86;57,14
RUE DES CORDELIERS [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;35,35;10;4;2,50;48,50;10,00;50,00
RUE DE LA CANARDE (85340);31;LE STELLA;35,34;79;38;2,08;57,72;62,03;56,96
IMPASSE DES HIBOUX [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;35,33;11;6;1,83;45,36;45,45;36,36
RUE DES MONARQUES [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;35,33;37;22;1,68;44,19;32,43;40,54
RUE DES FORGERONS [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;35,32;11;4;2,75;41,27;9,09;54,55
RUE SIMONE SIGNORET [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;35,31;15;8;1,88;43,20;66,67;46,67
RUE MARIE LAURENCIN [CHATEAU D'OLONNE] (85180);15;GALERIE DES RIAUX;35,29;25;13;1,92;40,84;44,00;52,00
RUE DU PETIT PARIS (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;35,29;118;58;2,03;60,71;48,31;46,61
RUE DES GRIVES [OLONNE SUR MER] (85340);31;LE STELLA;35,27;28;15;1,87;41,50;39,29;57,14
RUE DES VENUS [OLONNE SUR MER] (85340);30;OLONNESPACE;35,27;21;12;1,75;44,76;28,57;42,86
RUE JOSEPH PELLETIER (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;35,26;52;24;2,17;54,38;59,62;55,77
RUE DE LA PIRONNIERE [CHATEAU D'OLONNE] (85180);20;COLONIE KER-NETRA;35,21;44;24;1,83;50,16;11,36;47,73
IMPASSE RENE DESCARTES [CHATEAU D'OLONNE] (85180);13;MAIRIE ANNEXE DU CHATEAU D'OLONNE;35,21;20;10;2,00;50,30;55,00;60,00
AVENUE FRANCOIS MITTERRAND [OLONNE SUR MER] (85340);27; GYMNASE DES CHIRONS;35,19;51;32;1,59;43,63;39,22;50,98
RUE EMILE LANSIER (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;35,19;22;10;2,20;50,64;54,55;40,91
IMPASSE RENOLEAU (85100);3;CONSERVATOIRE MARIN MARAIS;35,18;43;21;2,05;53,47;34,88;48,84
RUE FREDERIC PASSY [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;35,18;16;9;1,78;44,56;37,50;37,50
RUE DES MIRABELLIERS [OLONNE SUR MER] (85340);30;OLONNESPACE;35,12;15;6;2,50;49,93;13,33;46,67
RUE DES PRES DE LA CLAIS (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;35,10;33;20;1,65;44,61;54,55;42,42
ALLEE DES ERABLES [OLONNE SUR MER] (85340);30;OLONNESPACE;35,03;20;11;1,82;47,25;35,00;50,00
QUAI ROUSSEAU MECHIN (85100);6;SALLE DES FETES DE LA CHAUME N°1;35,02;11;5;2,20;49,73;18,18;54,55
IMPASSE EDWIGE FEUILLERE [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;35,02;18;9;2,00;39,33;55,56;33,33
RUE DU PACAGE [OLONNE SUR MER] (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;35,01;22;11;2,00;38,77;22,73;40,91
AVENUE DE TALMONT (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;35,00;110;59;1,86;58,96;53,64;44,55
ROUTE ALEXANDRE SOLJENITSYNE (85340);26;LYCEE ERIC TABARLY;34,97;58;27;2,15;56,17;48,28;51,72
RUE DES CITRINES (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;34,95;19;11;1,73;45,58;63,16;52,63
RUE DU PONT (85340);33;COLONIE DE SAUVETERRE;34,93;39;21;1,86;50,90;51,28;58,97
RUE DU GYPSE [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;34,93;14;8;1,75;45,43;50,00;35,71
RUE BARBARA [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;34,93;15;8;1,88;48,07;40,00;46,67
RUE JEAN NEAU (85100);7;SALLE AUDUBON N°1;34,92;52;27;1,93;54,06;30,77;50,00
RUE DE LA FORGERIE (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;34,91;73;36;2,03;58,37;52,05;50,68
RUE DES ESSARTS [CHATEAU D'OLONNE] (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;34,91;24;14;1,71;46,13;33,33;41,67
RUE HENRI DUNANT [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;34,90;18;10;1,80;47,06;38,89;55,56
RUE DU CANAL (85340);33;COLONIE DE SAUVETERRE;34,89;74;35;2,11;58,57;54,05;47,30
RUE DE LA CANARDE [OLONNE SUR MER] (85340);31;LE STELLA;34,87;34;21;1,62;45,68;47,06;47,06
RUE JEAN-PIERRE FLORIAN [CHATEAU D'OLONNE] (85180);13;MAIRIE ANNEXE DU CHATEAU D'OLONNE;34,87;10;5;2,00;50,10;30,00;60,00
RUE DES PALUDIERS [OLONNE SUR MER] (85340);31;LE STELLA;34,85;20;11;1,82;47,85;15,00;60,00
RUE DES TURQUOISES [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;34,84;20;11;1,82;47,90;35,00;30,00
ALLEE DU PRINTEMPS (85100);9;OFFICE DU TOURISME DE LA GARE ;34,84;20;10;2,00;51,55;35,00;50,00
COUREE DES EPHEMERES (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;34,80;18;10;1,80;42,61;61,11;50,00
ALLEE DU GILLIER [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;34,78;19;11;1,73;46,16;42,11;47,37
IMPASSE BATAILLE (85100);3;CONSERVATOIRE MARIN MARAIS;34,77;31;16;1,94;51,97;38,71;51,61
RUE HENRI LABORIT [OLONNE SUR MER] (85340);34;CENTRE JEAN DE LA FONTAINE ;34,76;11;6;1,83;47,27;36,36;45,45
RUE DE LA BRECHOIRE [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;34,74;13;7;1,86;48,08;38,46;61,54
ALLEE DES DIAMANTS (85340);30;OLONNESPACE;34,74;17;10;1,70;44,53;64,71;17,65
RUE BEAUSEJOUR (85100);2;AUDITORIUM SAINT-MICHEL;34,74;142;86;1,65;55,57;34,51;45,07
AVENUE ARISTIDE BRIAND (85100);7;SALLE AUDUBON N°1;34,71;118;60;1,97;61,96;29,66;47,46
RUE ALFRED JOLY (85100);7;SALLE AUDUBON N°1;34,70;13;5;2,60;51,08;30,77;53,85
RUE DES CAPUCINES [OLONNE SUR MER] (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;34,69;112;83;1,35;49,69;25,89;34,82
RUE DES ABYSSES [CHATEAU D'OLONNE] (85180);35;SALLE AUDUBON N°2;34,65;20;12;1,67;45,50;45,00;55,00
IMPASSE DES PETITS CAILLOUX [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;34,64;12;7;1,71;44,58;25,00;41,67
RUE DE LA PENOUILLERE [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;34,63;14;8;1,75;43,57;50,00;57,14
IMPASSE LOMBART [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;34,61;11;5;2,20;51,09;36,36;27,27
RUE DES CAMPANULES [OLONNE SUR MER] (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;34,60;17;9;1,89;49,71;29,41;58,82
QUAI GEORGE V (85100);6;SALLE DES FETES DE LA CHAUME N°1;34,60;35;19;1,84;51,17;28,57;51,43
IMPASSE BEAUSEJOUR (85100);2;AUDITORIUM SAINT-MICHEL;34,60;15;7;2,14;51,67;26,67;40,00
IMPASSE LE TITIEN [CHATEAU D'OLONNE] (85180);15;GALERIE DES RIAUX;34,57;19;10;1,90;50,32;31,58;57,89
RUE PAUL POIROUX [OLONNE SUR MER] (85340);31;LE STELLA;34,56;38;24;1,58;46,53;39,47;52,63
RUE DES CENDRES [OLONNE SUR MER] (85340);30;OLONNESPACE;34,56;49;34;1,44;44,84;22,45;51,02
RUE DE LA PASSERELLE (85100);8;ECOLE MATERNELLE DES JARDINS;34,54;15;7;2,14;51,87;20,00;60,00
RUE JULES FERRY [CHATEAU D'OLONNE] (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;34,53;11;5;2,20;51,36;9,09;63,64
CHEMIN DES BARRES (85340);33;COLONIE DE SAUVETERRE;34,51;103;58;1,78;58,81;58,25;46,60
IMPASSE MARCEL ACHARD [CHATEAU D'OLONNE] (85180);36;ECOLE PRIMAIRE RENE MILLET ;34,51;10;5;2,00;51,30;20,00;60,00
RUE DU MOULIN DE LA SALLE (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;34,50;19;5;3,80;52,53;52,63;42,11
RUE DES BOILARDRIES [CHATEAU D'OLONNE] (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;34,50;17;9;1,89;50,06;35,29;52,94
RUE DE MALAGUE [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;34,50;29;17;1,71;42,00;10,34;41,38
RUE DE LA FORGERIE [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;34,48;38;24;1,58;46,79;39,47;50,00
RUE RENE FONCK (85100);7;SALLE AUDUBON N°1;34,47;13;5;2,60;51,85;23,08;61,54
RUE DU DOCTEUR CANTETEAU (85100);6;SALLE DES FETES DE LA CHAUME N°1;34,46;89;49;1,82;58,33;42,70;52,81
IMPASSE RAOUL DUFY (85180);15;GALERIE DES RIAUX;34,46;17;6;2,83;52,41;70,59;58,82
CHEMIN DE LA MOULINE (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;34,45;49;22;2,23;56,71;53,06;48,98
RUE DE LA BELLE OLONNAISE (85340);26;LYCEE ERIC TABARLY;34,42;141;74;1,91;61,70;52,48;46,10
RUE DES HANNETONS (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;34,41;30;15;2,00;54,30;73,33;46,67
ALLEE DES BUCARDES (85340);30;OLONNESPACE;34,40;15;7;2,14;52,33;46,67;66,67
RUE DES SYRPHES [OLONNE SUR MER] (85340);26;LYCEE ERIC TABARLY;34,38;31;19;1,63;47,16;38,71;35,48
RUE ALBERT CALMETTE (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;34,36;64;33;1,94;57,80;70,31;45,31
IMPASSE TAUZIN [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;34,35;13;7;1,86;40,62;46,15;46,15
RUE DU PONTREAU [CHATEAU D'OLONNE] (85180);20;COLONIE KER-NETRA;34,34;54;35;1,54;48,57;31,48;31,48
RUE SIMONE VEIL [CHATEAU D'OLONNE] (85180);16;ECOLE PRIMAIRE DES NOUETTES;34,34;70;41;1,71;54,03;34,29;44,29
RUE DES BERGERS [OLONNE SUR MER] (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;34,32;31;18;1,72;49,16;32,26;58,06
RUE DU PETIT PARIS [CHATEAU D'OLONNE] (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;34,31;29;18;1,61;46,72;37,93;48,28
RUE MOMUS (85100);8;ECOLE MATERNELLE DES JARDINS;34,30;10;4;2,50;52,00;40,00;50,00
RUE HENRIETTE DURAND (85100);4;ECOLE MATERNELLE CLEMENCEAU;34,29;11;5;2,20;52,18;45,45;36,36
RUE MARÉCHAL LYAUTEY (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;34,28;12;5;2,40;52,33;50,00;41,67
RUE GILBERT BECAUD [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;34,25;17;9;1,89;50,88;11,76;58,82
RUE DES SAUNIERS (85100);12;SALLE DES FETES DE LA CHAUME N°2;34,25;238;122;1,95;63,20;30,67;48,74
RUE DU TARIF (85100);12;SALLE DES FETES DE LA CHAUME N°2;34,24;70;33;2,12;60,19;47,14;48,57
RUE JACQUES DAGUERRE [CHATEAU D'OLONNE] (85180);17;CENTRE DE LOISIRS DES PLESSES;34,24;10;4;2,50;52,20;40,00;40,00
RUE MAURICE GENEVOIX [CHATEAU D'OLONNE] (85180);13;MAIRIE ANNEXE DU CHATEAU D'OLONNE;34,24;26;13;2,00;54,35;34,62;42,31
RUE PIERRE ROBIN (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;34,23;49;31;1,58;49,04;57,14;46,94
RUE DES PARCS [CHATEAU D'OLONNE] (85180);21;LA MAISON DES SPORTS;34,23;39;23;1,70;39,97;28,21;48,72
RUE DES LIBELLULES (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;34,21;29;14;2,07;54,83;48,28;41,38
RUE DE LA MINE [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;34,20;15;7;2,14;37,00;20,00;66,67
RUE DES TOURNESOLS [OLONNE SUR MER] (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;34,16;28;16;1,75;40,14;14,29;32,14
IMPASSE DES VANNEAUX [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;34,16;10;6;1,67;44,20;40,00;60,00
RUE DE LA PENOUILLERE (85340);33;COLONIE DE SAUVETERRE;34,15;21;11;1,91;52,14;71,43;66,67
ALLEE DU FIEF MOINE (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;34,15;10;5;2,00;52,50;40,00;60,00
RUE DE LA PERRIERE (85340);30;OLONNESPACE;34,13;25;14;1,79;50,28;56,00;44,00
RUE DE LA MARION (85100);11;CENTRE DE LOISIRS DE L'ARMANDECHE N°2;34,11;126;64;1,97;63,99;53,97;46,03
IMPASSE ESTHER AKRICHE (85100);3;CONSERVATOIRE MARIN MARAIS;34,11;30;14;2,14;55,30;23,33;46,67
RUE DE LA LEONIERE (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;34,10;32;16;2,00;55,59;34,38;50,00
RUE DOCTEUR CHARCOT [OLONNE SUR MER] (85340);27; GYMNASE DES CHIRONS;34,09;29;17;1,71;49,34;37,93;55,17
RUE DE LA VIGNE VERTE (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;34,07;25;11;2,27;54,76;60,00;56,00
ROUTE DES AMIS DE LA NATURE [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;34,07;61;40;1,53;50,07;39,34;49,18
ROUTE DE LA MER (85340);33;COLONIE DE SAUVETERRE;34,05;40;21;1,90;54,93;32,50;55,00
RUE DE LA PAIX (85100);8;ECOLE MATERNELLE DES JARDINS;34,04;62;32;1,94;58,56;30,65;48,39
RUE ERNEST LANDRIEAU [OLONNE SUR MER] (85340);30;OLONNESPACE;34,03;135;94;1,44;53,61;24,44;43,70
IMPASSE THEODORE GERICAULT [CHATEAU D'OLONNE] (85180);15;GALERIE DES RIAUX;34,03;14;8;1,75;48,43;35,71;50,00
RUE DES MARAIS [OLONNE SUR MER] (85340);31;LE STELLA;34,02;13;7;1,86;50,46;38,46;53,85
RUE JEAN BOUIN [CHATEAU D'OLONNE] (85180);21;LA MAISON DES SPORTS;33,99;19;12;1,58;45,89;36,84;31,58
RUE DES FAVRIOUX (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;33,99;18;6;3,00;54,11;77,78;55,56
RUE DOCTEUR LAENNEC [OLONNE SUR MER] (85340);30;OLONNESPACE;33,97;11;6;1,83;49,91;36,36;54,55
RUE PARMENTIER [CHATEAU D'OLONNE] (85180);15;GALERIE DES RIAUX;33,97;33;18;1,83;52,85;33,33;42,42
RUE PIERRE CURIE [CHATEAU D'OLONNE] (85180);36;ECOLE PRIMAIRE RENE MILLET ;33,96;16;10;1,60;44,06;50,00;43,75
RUE JACQUES BREL [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;33,95;29;14;2,07;55,69;24,14;48,28
IMPASSE DES PUFFINS [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;33,95;13;8;1,63;43,92;53,85;30,77
RUE DES TURQUOISES (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;33,93;34;18;1,89;54,21;38,24;52,94
RUE MERE TERESA (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;33,92;14;6;2,33;53,79;21,43;42,86
IMPASSE DES AMARANTES [OLONNE SUR MER] (85340);34;CENTRE JEAN DE LA FONTAINE ;33,92;16;8;2,00;54,06;12,50;50,00
AVENUE DE NOIRMOUTIER [CHATEAU D'OLONNE] (85180);20;COLONIE KER-NETRA;33,92;12;7;1,71;47,83;33,33;50,00
IMPASSE DES GALETS [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;33,91;12;5;2,40;53,58;16,67;50,00
RUE DES PENSEES [OLONNE SUR MER] (85340);27; GYMNASE DES CHIRONS;33,88;15;9;1,67;42,60;60,00;60,00
COUREE DES ROSEAUX (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;33,87;14;9;1,56;44,93;64,29;42,86
ALLEE DE LA MAISON NEUVE (85340);26;LYCEE ERIC TABARLY;33,87;78;43;1,81;58,78;66,67;44,87
RUE DES CONSERVERIES (85100);12;SALLE DES FETES DE LA CHAUME N°2;33,87;12;7;1,71;48,00;33,33;33,33
RUE DES RENONCULES [OLONNE SUR MER] (85340);27; GYMNASE DES CHIRONS;33,86;15;9;1,67;47,47;40,00;53,33
RUE LOUIS DE FUNÈS [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;33,86;35;20;1,75;51,80;25,71;51,43
RUE RENAUDOT (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;33,85;23;10;2,30;55,22;56,52;52,17
RUE DE LA CROIX BLANCHE [CHATEAU D'OLONNE] (85180);13;MAIRIE ANNEXE DU CHATEAU D'OLONNE;33,85;39;27;1,44;43,74;28,21;46,15
RUE DES BRANCHES (85100);11;CENTRE DE LOISIRS DE L'ARMANDECHE N°2;33,84;279;154;1,81;61,78;45,88;46,95
IMPASSE DE GLORIET [OLONNE SUR MER] (85340);31;LE STELLA;33,82;14;7;2,00;54,14;71,43;35,71
ALLEE DES PRUNUS (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;33,80;31;14;2,21;56,45;64,52;54,84
RUE CAMILLE GUERIN [CHATEAU D'OLONNE] (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;33,79;14;9;1,56;45,36;42,86;50,00
RUE DES PERDRIX [OLONNE SUR MER] (85340);31;LE STELLA;33,77;18;10;1,80;50,83;22,22;61,11
RUE DE L'HOTEL DE VILLE (85100);1;HOTEL DE VILLE;33,77;80;49;1,63;55,76;25,00;55,00
RUE BENJAMIN RABIER [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;33,77;12;7;1,71;48,33;41,67;41,67
IMPASSE DES OCEANIDES [CHATEAU D'OLONNE] (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;33,75;18;8;2,25;54,89;11,11;44,44
