Rue;Code Bureau;Bureau de Vote;Score Priorité;Nb Électeurs;Nb Foyers;Électeurs/Foyer;Âge Moyen;% Natifs Vendée;% Hommes
BOULEVD DE LATTRE DE TASSIGNY (85180);20;COLONIE KER-NETRA;26,47;16;11;1,45;68,00;43,75;56,25
RUE YVONNE BROTHIER (85100);11;CENTRE DE LOISIRS DE L'ARMANDECHE N°2;26,46;17;10;1,70;73,06;17,65;58,82
RUE DES FEUILLAGES (85340);34;CENTRE JEAN DE LA FONTAINE ;26,42;13;8;1,63;71,15;46,15;53,85
PLACE MARIA CALLAS (85180);16;ECOLE PRIMAIRE DES NOUETTES;26,40;15;10;1,50;69,00;60,00;46,67
ALLEE DE BREM (85180);20;COLONIE KER-NETRA;26,39;32;22;1,45;70,41;31,25;46,88
RUE JEAN YOLE (85100);8;ECOLE MATERNELLE DES JARDINS;26,38;28;22;1,27;66,25;35,71;46,43
RUE DU PONTREAU (85180);20;COLONIE KER-NETRA;26,37;33;24;1,38;69,00;63,64;36,36
RUE DES RIGOTTIERES (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;26,34;16;11;1,45;68,44;43,75;37,50
RUE GEORGE SAND (85180);16;ECOLE PRIMAIRE DES NOUETTES;26,33;12;8;1,50;68,83;25,00;25,00
QUAI DINGLER (85100);1;HOTEL DE VILLE;26,33;17;9;1,89;77,29;35,29;41,18
RUE DES FOSSES (85340);33;COLONIE DE SAUVETERRE;26,31;10;7;1,43;67,20;60,00;50,00
RUE DES MYOSOTIS (85100);35;SALLE AUDUBON N°2;26,30;40;27;1,48;72,30;15,00;45,00
RUE MOLIERE (85100);4;ECOLE MATERNELLE CLEMENCEAU;26,27;10;6;1,67;72,10;50,00;60,00
RUE DE L'ÉCUME DE MER (85100);12;SALLE DES FETES DE LA CHAUME N°2;26,25;16;10;1,60;71,63;50,00;50,00
IMPASSE CAMILLE DESMOULINS (85180);17;CENTRE DE LOISIRS DES PLESSES;26,24;13;8;1,63;71,77;61,54;46,15
IMPASSE DES COQUELICOTS (85100);5;CENTRE DE LOISIRS DE L'ARMANDECHE N°1;26,24;25;16;1,56;72,12;44,00;44,00
RUE DE LA VIGIE (85100);6;SALLE DES FETES DE LA CHAUME N°1;26,22;23;15;1,53;71,35;30,43;47,83
RUE PIERRE LOTI (85180);3;CONSERVATOIRE MARIN MARAIS;26,20;32;22;1,45;71,03;28,13;31,25
PLACE DU GENERAL COLLINEAU (85100);8;ECOLE MATERNELLE DES JARDINS;26,19;18;12;1,50;70,11;55,56;50,00
RUE EUGENE NAULEAU (85340);34;CENTRE JEAN DE LA FONTAINE ;26,14;10;8;1,25;64,20;40,00;30,00
RUE TRUDAINE (85100);8;ECOLE MATERNELLE DES JARDINS;26,11;15;8;1,88;77,47;33,33;40,00
RUE DES SAPONAIRES (85180);15;GALERIE DES RIAUX;26,08;16;9;1,78;75,75;37,50;50,00
RUE DE BELLE NOUE [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;26,07;63;51;1,24;71,22;23,81;30,16
RUE JEAN BART (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;26,04;20;14;1,43;69,45;35,00;55,00
IMPASSE DES PINSONS (85100);3;CONSERVATOIRE MARIN MARAIS;26,01;10;7;1,43;68,20;40,00;30,00
RUE DU DOCTEUR SCHWEITZER (85180);16;ECOLE PRIMAIRE DES NOUETTES;25,98;34;25;1,36;70,12;41,18;44,12
ALLEE DES PEUPLIERS (85340);27; GYMNASE DES CHIRONS;25,97;24;14;1,71;75,92;45,83;50,00
RUE DE LA COUPE (85100);1;HOTEL DE VILLE;25,96;12;6;2,00;80,08;33,33;50,00
IMPASSE FANNY REVZIN (85100);3;CONSERVATOIRE MARIN MARAIS;25,95;11;8;1,38;67,45;45,45;45,45
RUE DES PRIMEVERES (85340);27; GYMNASE DES CHIRONS;25,91;31;23;1,35;69,71;51,61;41,94
RUE DU PIGEONNIER (85100);5;CENTRE DE LOISIRS DE L'ARMANDECHE N°1;25,91;14;8;1,75;75,50;28,57;50,00
RUE DU GENERAL MANGIN (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;25,90;15;9;1,67;74,00;33,33;46,67
PROMENADE WILSON (85100);1;HOTEL DE VILLE;25,89;21;11;1,91;79,67;57,14;42,86
IMPASSE DES FUSAINS (85340);33;COLONIE DE SAUVETERRE;25,88;13;10;1,30;66,46;23,08;46,15
RUE DE LA CITE DES PINS (85180);35;SALLE AUDUBON N°2;25,86;37;29;1,28;69,24;40,54;40,54
PASSAGE DE LA BRIGANTINE (85100);12;SALLE DES FETES DE LA CHAUME N°2;25,83;12;11;1,09;62,33;25,00;50,00
IMPASSE MARCEL CERDAN (85180);21;LA MAISON DES SPORTS;25,81;14;9;1,56;71,93;57,14;35,71
PLACE DES AGNEAUX (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;25,81;12;8;1,50;70,58;50,00;41,67
RUE DES PIECES FRANCHES (85180);15;GALERIE DES RIAUX;25,77;29;19;1,53;73,48;51,72;37,93
RUE MONTESQUIEU (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;25,77;14;9;1,56;72,07;64,29;42,86
IMPASSE DES TOURTERELLES (85100);2;AUDITORIUM SAINT-MICHEL;25,76;16;9;1,78;76,81;43,75;50,00
RUE CHARLES ROUSSEL (85100);7;SALLE AUDUBON N°1;25,74;24;16;1,50;72,42;25,00;45,83
AVENUE DE LA VENDEE (85180);20;COLONIE KER-NETRA;25,68;23;15;1,53;73,13;43,48;60,87
RUE DES PIECES FRANCHES (85340);30;OLONNESPACE;25,68;28;19;1,47;72,61;57,14;46,43
RUE DES GIGUELINS (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;25,68;25;15;1,67;76,08;28,00;44,00
PLACE JEAN DAVID NAU L'OLONNOIS (85100);12;SALLE DES FETES DE LA CHAUME N°2;25,67;18;16;1,13;64,33;11,11;55,56
QUAI DES BOUCANIERS (85100);6;SALLE DES FETES DE LA CHAUME N°1;25,65;21;15;1,40;70,29;47,62;38,10
RUE DU VALLON (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;25,65;35;23;1,52;74,60;22,86;40,00
RUE DES ROSIERS (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;25,63;24;17;1,41;71,00;50,00;37,50
RUE DU COLONEL RÉMY (85100);4;ECOLE MATERNELLE CLEMENCEAU;25,62;25;17;1,47;72,36;40,00;40,00
ALLEE DES PLATANES (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;25,61;22;14;1,57;74,00;45,45;40,91
IMPASSE DE GUITTARD (85100);2;AUDITORIUM SAINT-MICHEL;25,60;16;10;1,60;73,81;18,75;56,25
IMPASSE PHILIPPE DEBELLOIR (85100);3;CONSERVATOIRE MARIN MARAIS;25,56;15;9;1,67;75,13;20,00;40,00
IMPASSE CLAUDE DEBUSSY [CHATEAU D'OLONNE] (85180);16;ECOLE PRIMAIRE DES NOUETTES;25,53;16;14;1,14;25,13;68,75;62,50
IMPASSE DE LA PILNIERE [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;25,53;11;9;1,22;24,18;45,45;63,64
PLACE DES JASMINS (85340);27; GYMNASE DES CHIRONS;25,52;11;8;1,38;68,91;72,73;36,36
RUE VASCO DE GAMA (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;25,51;27;17;1,59;75,33;18,52;44,44
RUE DU COTEAU (85180);17;CENTRE DE LOISIRS DES PLESSES;25,50;22;13;1,69;76,77;27,27;36,36
ALLEE DES ORMES (85340);30;OLONNESPACE;25,44;13;10;1,30;67,92;30,77;53,85
RUE DE LA TRAMONTANE (85340);31;LE STELLA;25,39;11;7;1,57;73,27;36,36;45,45
RUE GUILLAUME APOLLINAIRE (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;25,37;13;10;1,30;68,15;61,54;15,38
RUE DES MARAIS (85340);31;LE STELLA;25,28;10;6;1,67;75,40;50,00;60,00
RUE GUILLAUME DUPUYTREN (85180);15;GALERIE DES RIAUX;25,28;16;10;1,60;74,88;37,50;43,75
RUE DE LA FLECHE (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;25,26;14;9;1,56;73,79;35,71;42,86
PLACE DE STRASBOURG (85100);4;ECOLE MATERNELLE CLEMENCEAU;25,25;20;11;1,82;79,85;40,00;45,00
RUE GUSTAVE CHARPENTIER (85180);16;ECOLE PRIMAIRE DES NOUETTES;25,24;15;11;1,36;70,13;26,67;40,00
RUE LA CONDAMINE (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;25,21;12;9;1,33;69,25;0,00;58,33
RUE TROMELIN (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;25,20;21;14;1,50;73,81;52,38;42,86
RUE DU ROI ALBERT 1ER (85100);6;SALLE DES FETES DE LA CHAUME N°1;24,99;16;13;1,23;68,44;31,25;43,75
RUE DES MOUETTES (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;24,98;12;9;1,33;70,00;25,00;50,00
IMPASSE DE PUIRPOUX (85100);5;CENTRE DE LOISIRS DE L'ARMANDECHE N°1;24,98;11;7;1,57;74,64;27,27;45,45
IMPASSE FRANCOIS BROUSSAIS (85180);15;GALERIE DES RIAUX;24,95;11;7;1,57;74,73;45,45;45,45
AVENUE DU COMMANDANT BELMONT (85180);35;SALLE AUDUBON N°2;24,94;12;7;1,71;77,75;16,67;41,67
ALLEE DES MAGNOLIAS [OLONNE SUR MER] (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;24,86;12;8;1,50;73,75;16,67;50,00
RUE KOIRANSKY (85100);35;SALLE AUDUBON N°2;24,84;11;7;1,57;75,09;27,27;45,45
RUE DES ALIZES (85180);20;COLONIE KER-NETRA;24,82;33;22;1,50;76,67;15,15;45,45
ALLEE DE LA BOISSERIE (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;24,81;11;7;1,57;75,18;63,64;36,36
