Rue;Code Bureau;Bureau de Vote;Nb Électeurs;Nb Foyers;Score Priorité;Temps Estimé;Équipe Suggérée
IMPASSE DE LA CHARRUE (85340);34;CENTRE JEAN DE LA FONTAINE ;12;5;36,25;5 min;1 personne
RUE DE LA BELLE OLONNAISE [OLONNE SUR MER] (85340);26;LYCEE ERIC TABARLY;55;33;36,18;33 min;2 personnes
RUE DE LA TOUR (85100);1;HOTEL DE VILLE;12;6;36,13;6 min;1 personne
RUE EDITH PIAF [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;10;5;36,13;5 min;1 personne
ROUTE DES MARAICHERS [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;53;31;36,07;31 min;2 personnes
RUE DES AJONCS [OLONNE SUR MER] (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;18;9;36,02;9 min;1 personne
RUE DES BOILARDRIES (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;70;30;35,99;30 min;1 personne
RUE ANATOLE FRANCE (85100);2;AUDITORIUM SAINT-MICHEL;37;18;35,95;18 min;1 personne
ROUTE DES AIRES (85340);33;COLONIE DE SAUVETERRE;86;42;35,94;42 min;2 personnes
RUE DES HERONS (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;11;4;35,89;4 min;1 personne
RUE DES ROSIERS [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;30;14;35,89;14 min;1 personne
RUE PAUL BERT [OLONNE SUR MER] (85340);34;CENTRE JEAN DE LA FONTAINE ;23;10;35,81;10 min;1 personne
AVENUE DE TALMONT [CHATEAU D'OLONNE] (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;68;43;35,80;43 min;2 personnes
RUE SERAPHIN BUTON [CHATEAU D'OLONNE] (85180);36;ECOLE PRIMAIRE RENE MILLET ;67;42;35,79;42 min;2 personnes
RUE DU MICA [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;13;6;35,74;6 min;1 personne
RUE MARECHAL JOFFRE [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;63;41;35,71;41 min;2 personnes
RUE LINO VENTURA [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;21;11;35,69;11 min;1 personne
RUE DE LA POITEVINIERE [CHATEAU D'OLONNE] (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;18;9;35,69;9 min;1 personne
RUE DE BEAUMONT [CHATEAU D'OLONNE] (85180);21;LA MAISON DES SPORTS;49;29;35,68;29 min;1 personne
RUE DU CHEMIN CREUX [OLONNE SUR MER] (85340);34;CENTRE JEAN DE LA FONTAINE ;10;5;35,68;5 min;1 personne
IMPASSE DES CASTELONNES [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;13;6;35,67;6 min;1 personne
RUE DES PIVERTS [OLONNE SUR MER] (85340);31;LE STELLA;16;7;35,67;7 min;1 personne
IMPASSE TINO ROSSI [CHATEAU D'OLONNE] (85180);36;ECOLE PRIMAIRE RENE MILLET ;14;7;35,66;7 min;1 personne
RUE HENRI COLINS (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;17;8;35,62;8 min;1 personne
IMPASSE DE LA FONTAINE AUX HOMMES [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;12;6;35,58;6 min;1 personne
RUE DES PRES DE LA CLAIS [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;52;29;35,51;29 min;1 personne
ROUTE DES PINS [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;66;42;35,51;42 min;2 personnes
IMPASSE DES NOYERS [OLONNE SUR MER] (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;13;6;35,48;6 min;1 personne
CHEMIN DES BARRES [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;69;44;35,47;44 min;2 personnes
RUE DES HIRONDELLES [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;28;16;35,47;16 min;1 personne
RUE SIMONE VEIL [CHATEAU D'OLONNE] (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;110;69;35,47;1h09;2 personnes
IMPASSE DES PETRELS [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;15;7;35,42;7 min;1 personne
RUE ANNIE GIRARDOT [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;30;16;35,37;16 min;1 personne
RUE DES GRANDS TERRAGES (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;63;34;35,37;34 min;2 personnes
RUE VICTOR HUGO [OLONNE SUR MER] (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;21;11;35,35;11 min;1 personne
RUE DES CORDELIERS [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;10;4;35,35;4 min;1 personne
RUE DE LA CANARDE (85340);31;LE STELLA;79;38;35,34;38 min;2 personnes
IMPASSE DES HIBOUX [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;11;6;35,33;6 min;1 personne
RUE DES MONARQUES [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;37;22;35,33;22 min;1 personne
RUE DES FORGERONS [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;11;4;35,32;4 min;1 personne
RUE SIMONE SIGNORET [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;15;8;35,31;8 min;1 personne
RUE MARIE LAURENCIN [CHATEAU D'OLONNE] (85180);15;GALERIE DES RIAUX;25;13;35,29;13 min;1 personne
RUE DU PETIT PARIS (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;118;58;35,29;58 min;2 personnes
RUE DES GRIVES [OLONNE SUR MER] (85340);31;LE STELLA;28;15;35,27;15 min;1 personne
RUE DES VENUS [OLONNE SUR MER] (85340);30;OLONNESPACE;21;12;35,27;12 min;1 personne
RUE JOSEPH PELLETIER (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;52;24;35,26;24 min;1 personne
RUE DE LA PIRONNIERE [CHATEAU D'OLONNE] (85180);20;COLONIE KER-NETRA;44;24;35,21;24 min;1 personne
IMPASSE RENE DESCARTES [CHATEAU D'OLONNE] (85180);13;MAIRIE ANNEXE DU CHATEAU D'OLONNE;20;10;35,21;10 min;1 personne
AVENUE FRANCOIS MITTERRAND [OLONNE SUR MER] (85340);27; GYMNASE DES CHIRONS;51;32;35,19;32 min;2 personnes
RUE EMILE LANSIER (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;22;10;35,19;10 min;1 personne
IMPASSE RENOLEAU (85100);3;CONSERVATOIRE MARIN MARAIS;43;21;35,18;21 min;1 personne
RUE FREDERIC PASSY [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;16;9;35,18;9 min;1 personne
RUE DES MIRABELLIERS [OLONNE SUR MER] (85340);30;OLONNESPACE;15;6;35,12;6 min;1 personne
RUE DES PRES DE LA CLAIS (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;33;20;35,10;20 min;1 personne
ALLEE DES ERABLES [OLONNE SUR MER] (85340);30;OLONNESPACE;20;11;35,03;11 min;1 personne
QUAI ROUSSEAU MECHIN (85100);6;SALLE DES FETES DE LA CHAUME N°1;11;5;35,02;5 min;1 personne
IMPASSE EDWIGE FEUILLERE [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;18;9;35,02;9 min;1 personne
RUE DU PACAGE [OLONNE SUR MER] (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;22;11;35,01;11 min;1 personne
AVENUE DE TALMONT (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;110;59;35,00;59 min;2 personnes
ROUTE ALEXANDRE SOLJENITSYNE (85340);26;LYCEE ERIC TABARLY;58;27;34,97;27 min;1 personne
RUE DES CITRINES (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;19;11;34,95;11 min;1 personne
RUE DU PONT (85340);33;COLONIE DE SAUVETERRE;39;21;34,93;21 min;1 personne
RUE DU GYPSE [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;14;8;34,93;8 min;1 personne
RUE BARBARA [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;15;8;34,93;8 min;1 personne
RUE JEAN NEAU (85100);7;SALLE AUDUBON N°1;52;27;34,92;27 min;1 personne
RUE DE LA FORGERIE (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;73;36;34,91;36 min;2 personnes
RUE DES ESSARTS [CHATEAU D'OLONNE] (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;24;14;34,91;14 min;1 personne
RUE HENRI DUNANT [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;18;10;34,90;10 min;1 personne
RUE DU CANAL (85340);33;COLONIE DE SAUVETERRE;74;35;34,89;35 min;2 personnes
RUE DE LA CANARDE [OLONNE SUR MER] (85340);31;LE STELLA;34;21;34,87;21 min;1 personne
RUE JEAN-PIERRE FLORIAN [CHATEAU D'OLONNE] (85180);13;MAIRIE ANNEXE DU CHATEAU D'OLONNE;10;5;34,87;5 min;1 personne
RUE DES PALUDIERS [OLONNE SUR MER] (85340);31;LE STELLA;20;11;34,85;11 min;1 personne
RUE DES TURQUOISES [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;20;11;34,84;11 min;1 personne
ALLEE DU PRINTEMPS (85100);9;OFFICE DU TOURISME DE LA GARE ;20;10;34,84;10 min;1 personne
COUREE DES EPHEMERES (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;18;10;34,80;10 min;1 personne
ALLEE DU GILLIER [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;19;11;34,78;11 min;1 personne
IMPASSE BATAILLE (85100);3;CONSERVATOIRE MARIN MARAIS;31;16;34,77;16 min;1 personne
RUE HENRI LABORIT [OLONNE SUR MER] (85340);34;CENTRE JEAN DE LA FONTAINE ;11;6;34,76;6 min;1 personne
RUE DE LA BRECHOIRE [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;13;7;34,74;7 min;1 personne
ALLEE DES DIAMANTS (85340);30;OLONNESPACE;17;10;34,74;10 min;1 personne
